iter	Passed	Remaining
0	14	1137
1	29	1163
2	41	1077
3	55	1051
4	67	1016
5	81	999
6	93	975
7	106	961
8	119	944
9	131	917
10	142	892
11	153	869
12	163	844
13	175	828
14	189	821
15	210	843
16	226	839
17	238	821
18	250	802
19	260	782
20	273	768
21	286	755
22	298	739
23	317	739
24	331	728
25	345	718
26	359	704
27	373	693
28	390	685
29	403	673
30	420	664
31	434	651
32	455	649
33	484	654
34	506	651
35	522	639
36	538	625
37	552	610
38	566	595
39	582	582
40	603	574
41	624	565
42	647	557
43	673	551
44	699	543
45	725	536
46	747	524
47	763	509
48	777	491
49	792	475
50	814	462
51	830	447
52	844	429
53	860	414
54	872	396
55	884	378
56	896	361
57	908	344
58	920	327
59	932	310
60	946	294
61	962	279
62	977	263
63	1001	250
64	1023	236
65	1043	221
66	1064	206
67	1086	191
68	1108	176
69	1129	161
70	1151	145
71	1174	130
72	1201	115
73	1231	99
74	1264	84
75	1291	67
76	1310	51
77	1330	34
78	1345	17
79	1360	0
