iter	Logloss
0	0.3050791178
1	0.230449804
2	0.1957455091
3	0.1887851788
4	0.1834309706
5	0.1797824425
6	0.1760896317
7	0.1740788133
8	0.1726652665
9	0.1719385498
10	0.171486433
11	0.1696491115
12	0.1690167874
13	0.1687658015
14	0.1680897411
15	0.1678852485
16	0.1671222659
17	0.1667873224
18	0.1662175829
19	0.1656291672
20	0.1655617314
21	0.1650675224
22	0.164925401
23	0.1649253926
24	0.1647949047
25	0.1638209985
26	0.1631738481
27	0.1624577256
28	0.1618178622
29	0.1614194448
30	0.1610445854
31	0.1605359697
32	0.1603752544
33	0.1601202255
34	0.1594158193
35	0.1589620176
36	0.1587437362
37	0.1584091216
38	0.1580040553
39	0.1576374588
40	0.1573277995
41	0.1571129325
42	0.1567320306
43	0.1563815357
44	0.1553227431
45	0.1550888285
46	0.1545239517
47	0.1536965851
48	0.153523005
49	0.152970138
50	0.1527376485
51	0.1523779701
52	0.1522427602
53	0.1517710269
54	0.1514965709
55	0.1513216579
56	0.1510736403
57	0.1510509146
58	0.1506828118
59	0.1506105817
60	0.1502362523
61	0.1500817839
62	0.1498032056
63	0.1490517571
64	0.148994483
65	0.1486418203
66	0.1485162459
67	0.1475777897
68	0.1475755303
69	0.1470900508
70	0.1466882037
71	0.1466440373
72	0.1464355122
73	0.1464148502
74	0.1461523368
75	0.1453157039
76	0.144760797
77	0.1445276556
78	0.1440526778
79	0.1433907914
