iter	Accuracy	Logloss
0	0.9426282663	0.3965063482
1	0.9426282663	0.2937000308
2	0.9426282663	0.2486079141
3	0.9426282663	0.2217831464
4	0.9439252336	0.2008279939
5	0.9439252336	0.187846258
6	0.9446500095	0.1822048966
7	0.9448788861	0.1786071281
8	0.9449551783	0.1762783939
9	0.9456799542	0.1741894863
10	0.9455655159	0.1728296373
11	0.9457562464	0.172381176
12	0.9464428762	0.17155114
13	0.9468624833	0.171036875
14	0.9468624833	0.1706548347
15	0.9469387755	0.1704696295
16	0.9470532138	0.1698345655
17	0.9474346748	0.1694168105
18	0.9472820904	0.1691105056
19	0.947510967	0.1689182474
20	0.9476635514	0.1685134941
21	0.9477779897	0.1680654655
22	0.9479687202	0.1675699986
23	0.947892428	0.1675399607
24	0.947892428	0.167449344
25	0.9479687202	0.1667755235
26	0.9484264734	0.1664830943
27	0.948273889	0.1661021754
28	0.9483120351	0.1660130245
29	0.948273889	0.1659903694
30	0.9481213046	0.1657858706
31	0.9478542819	0.165564931
32	0.9481213046	0.1654554399
33	0.947892428	0.1653754735
34	0.9482357429	0.1651634843
35	0.9483883273	0.1650693854
36	0.9482357429	0.1649787629
37	0.9484264734	0.1648221789
38	0.9483501812	0.164734998
39	0.9483120351	0.1647186716
40	0.9483120351	0.16471604
41	0.948273889	0.1644813208
42	0.948273889	0.1643269607
43	0.9483501812	0.1637514475
44	0.9485409117	0.1635887841
45	0.94865535	0.1634951975
46	0.94865535	0.1634919384
47	0.9488079344	0.163435198
48	0.9488079344	0.1634322713
49	0.949036811	0.1631339116
50	0.9493038337	0.1627020391
51	0.9493419798	0.1623937617
52	0.9493419798	0.1622503725
53	0.9493419798	0.1622457579
54	0.9493419798	0.1622165229
55	0.9493419798	0.1622011417
56	0.949418272	0.162188683
57	0.9494564181	0.1621858478
58	0.9496090025	0.1620102412
59	0.9496852947	0.1620076227
60	0.9496852947	0.1619975406
61	0.9497234408	0.1617257271
62	0.9497615869	0.1614441001
63	0.9497234408	0.161441377
64	0.9496090025	0.1614069614
65	0.949799733	0.1611875912
66	0.949799733	0.1611815779
67	0.9497615869	0.1611370641
68	0.949799733	0.1611278251
69	0.9497234408	0.1611241753
70	0.9497234408	0.1608125355
71	0.9499141713	0.1605553215
72	0.9498760252	0.1603936134
73	0.9498378791	0.1603845296
74	0.9499523174	0.160103788
75	0.9502193401	0.1596570768
76	0.9503719245	0.159600861
77	0.9503719245	0.1595980191
78	0.9503719245	0.1595934534
79	0.9504863628	0.1595834896
80	0.9503337784	0.159560906
81	0.9505245089	0.1594121383
82	0.9504863628	0.1594110515
83	0.9504863628	0.1592738985
84	0.9504863628	0.1587546024
85	0.9509822621	0.1582687132
86	0.9510585543	0.1581518053
87	0.9510585543	0.1581502064
88	0.9510204082	0.1572472079
89	0.9510204082	0.1570990621
90	0.9514018692	0.1570247379
91	0.9514018692	0.1570025255
92	0.9513637231	0.1569574928
93	0.9513637231	0.1569329552
94	0.9514781614	0.1568325103
95	0.9515544536	0.1568205709
96	0.9514781614	0.156765802
97	0.9515163075	0.1567635109
98	0.9514781614	0.1567376606
99	0.9515163075	0.1567328335
