iter	Accuracy_SumError	Accuracy_SumWeight
0	6161	6554
1	6161	6554
2	6161	6554
3	6161	6554
4	6161	6554
5	6161	6554
6	6161	6554
7	6161	6554
8	6161	6554
9	6161	6554
10	6161	6554
11	6161	6554
12	6161	6554
13	6161	6554
14	6161	6554
15	6161	6554
16	6161	6554
17	6161	6554
18	6161	6554
19	6161	6554
20	6161	6554
21	6161	6554
22	6161	6554
23	6161	6554
24	6161	6554
25	6161	6554
26	6164	6554
27	6163	6554
28	6162	6554
29	6162	6554
30	6163	6554
31	6163	6554
32	6165	6554
33	6167	6554
34	6166	6554
35	6170	6554
36	6169	6554
37	6170	6554
38	6172	6554
39	6173	6554
40	6172	6554
41	6175	6554
42	6179	6554
43	6180	6554
44	6183	6554
45	6184	6554
46	6184	6554
47	6186	6554
48	6187	6554
49	6187	6554
