iter	Passed	Remaining
0	4	441
1	6	324
2	10	332
3	14	349
4	18	343
5	23	363
6	27	366
7	32	373
8	37	375
9	41	370
10	45	368
11	49	366
12	54	363
13	58	359
14	62	356
15	67	353
16	72	352
17	76	349
18	81	346
19	85	342
20	89	337
21	94	333
22	98	330
23	103	328
24	108	324
25	112	321
26	117	318
27	122	314
28	126	309
29	131	306
30	135	302
31	140	298
32	145	294
33	149	290
34	154	286
35	158	282
36	163	278
37	168	274
38	172	270
39	177	266
40	182	263
41	187	258
42	191	254
43	196	249
44	200	245
45	204	240
46	209	236
47	214	232
48	219	228
49	223	223
50	228	219
51	232	214
52	237	210
53	242	206
54	246	202
55	251	197
56	256	193
57	261	189
58	265	184
59	270	180
60	275	175
61	279	171
62	284	167
63	289	162
64	293	158
65	298	153
66	302	149
67	307	144
68	312	140
69	317	135
70	321	131
71	325	126
72	330	122
73	334	117
74	339	113
75	344	108
76	349	104
77	353	99
78	359	95
79	364	91
80	369	86
81	374	82
82	379	77
83	384	73
84	389	68
85	394	64
86	398	59
87	404	55
88	408	50
89	413	45
90	418	41
91	423	36
92	427	32
93	433	27
94	437	23
95	442	18
96	447	13
97	452	9
98	456	4
99	461	0
