iter	Accuracy_SumError	Accuracy_SumWeight
0	6161	6554
1	6161	6554
2	6161	6554
3	6161	6554
4	6161	6554
5	6161	6554
6	6161	6554
7	6161	6554
8	6161	6554
9	6161	6554
10	6161	6554
11	6161	6554
12	6161	6554
13	6161	6554
14	6161	6554
15	6161	6554
16	6161	6554
17	6161	6554
18	6161	6554
19	6161	6554
20	6161	6554
21	6161	6554
22	6161	6554
23	6161	6554
24	6161	6554
25	6161	6554
26	6161	6554
27	6161	6554
28	6161	6554
29	6161	6554
30	6160	6554
31	6160	6554
32	6158	6554
33	6158	6554
34	6161	6554
35	6163	6554
36	6162	6554
37	6164	6554
38	6169	6554
39	6170	6554
40	6173	6554
41	6176	6554
42	6177	6554
43	6185	6554
44	6189	6554
45	6189	6554
46	6192	6554
47	6195	6554
48	6196	6554
49	6197	6554
50	6203	6554
51	6203	6554
52	6208	6554
53	6209	6554
54	6211	6554
55	6218	6554
56	6223	6554
57	6224	6554
58	6225	6554
59	6226	6554
60	6225	6554
61	6225	6554
62	6229	6554
63	6231	6554
64	6238	6554
65	6243	6554
66	6241	6554
67	6243	6554
68	6242	6554
69	6246	6554
70	6244	6554
71	6245	6554
72	6247	6554
73	6247	6554
74	6250	6554
75	6250	6554
76	6248	6554
77	6248	6554
78	6249	6554
79	6250	6554
80	6250	6554
81	6249	6554
82	6251	6554
83	6250	6554
84	6250	6554
85	6251	6554
86	6251	6554
87	6251	6554
88	6256	6554
89	6256	6554
90	6253	6554
91	6255	6554
92	6258	6554
93	6258	6554
94	6255	6554
95	6256	6554
96	6256	6554
97	6256	6554
98	6256	6554
99	6256	6554
100	6257	6554
101	6258	6554
102	6260	6554
103	6259	6554
104	6260	6554
105	6260	6554
106	6263	6554
107	6262	6554
108	6260	6554
109	6260	6554
110	6260	6554
111	6260	6554
112	6261	6554
113	6261	6554
114	6260	6554
115	6259	6554
116	6261	6554
117	6261	6554
118	6262	6554
119	6261	6554
120	6261	6554
121	6262	6554
122	6260	6554
123	6262	6554
124	6263	6554
125	6262	6554
126	6262	6554
127	6261	6554
128	6262	6554
129	6262	6554
130	6262	6554
131	6262	6554
132	6262	6554
133	6262	6554
134	6262	6554
135	6262	6554
136	6263	6554
137	6262	6554
138	6262	6554
139	6262	6554
140	6262	6554
141	6265	6554
142	6264	6554
143	6266	6554
144	6266	6554
145	6267	6554
146	6268	6554
147	6268	6554
148	6268	6554
149	6268	6554
150	6266	6554
151	6268	6554
152	6267	6554
153	6267	6554
154	6268	6554
155	6267	6554
156	6267	6554
157	6266	6554
158	6266	6554
159	6264	6554
160	6266	6554
161	6267	6554
162	6267	6554
163	6268	6554
164	6268	6554
165	6268	6554
166	6269	6554
167	6269	6554
168	6269	6554
169	6269	6554
170	6269	6554
171	6269	6554
172	6270	6554
173	6269	6554
174	6268	6554
175	6268	6554
176	6269	6554
177	6270	6554
178	6270	6554
179	6269	6554
180	6270	6554
181	6269	6554
182	6269	6554
183	6269	6554
184	6269	6554
185	6269	6554
186	6270	6554
187	6270	6554
188	6270	6554
189	6270	6554
190	6269	6554
191	6270	6554
192	6269	6554
193	6268	6554
194	6268	6554
195	6268	6554
196	6269	6554
197	6269	6554
198	6269	6554
199	6267	6554
200	6268	6554
201	6269	6554
202	6268	6554
203	6268	6554
204	6268	6554
205	6270	6554
206	6270	6554
207	6270	6554
208	6270	6554
209	6270	6554
210	6270	6554
211	6270	6554
212	6269	6554
213	6269	6554
214	6269	6554
215	6270	6554
216	6270	6554
217	6270	6554
218	6271	6554
219	6271	6554
220	6270	6554
221	6271	6554
222	6272	6554
223	6272	6554
224	6274	6554
225	6273	6554
226	6271	6554
227	6271	6554
228	6271	6554
229	6270	6554
230	6272	6554
